ID,Question,Ground Truth Chunk,Reference Answer,Gold_Chunk
1,Why is it important to study the history of Ancient History ?,Chapter_1,"The study of ancient Indian history is important because it tells us how, when and where people developed the earliest cultures in India.",Chapter1_1
2,What was the role of Sir William Jones?,Chapter_2,"Sir William Jones was a civil servant of East India Company from 1746-94. He proposed that Sanskrit, Latin and Greek are from the same language family. He translated Abhinanashakuntalam into English. ","Chapter2_1, Chapter2_2"
3,How did the Rationalist approach the History?,Chapter_2,"A section of the Indian scholars tries to reform the Indian Society, they were influenced by the nationalist ideas of Hindu revivalism. Some of them also took a rationalist and objective approach.","Chapter2_7, Chapter2_8, Chapter2_17"
4,Who was Ramakrishna Gopal Bhandarkar and what was his contribution?,Chapter_2,Ramakrishna Gopal Bhandarkar was a Indian Historian from Maharasthra. He along with Vishwanath kashinath Rajwade pieced together the social and political history of the Satavahanas of the Deccan and the history of Vaishnavism and other sects. He also advocated for widow marriage and spoke against the caste system and child marriage.,"Chapter2_8, Chapter2_9"
5,How are prehistoric sites are different from historic sites.,Chapter_3,"There are several difference between prehistoric and historical sites. For prehistorical sites there are unlikely habitation remains, but fossils are the primary sources. These are found in hill slopes of the plateaus and mountains, and of the river bank with terraces. Numerous stone tools have benn also found from these sites.",Chapter3_1
6,How history of climate and vegetations are studied,Chapter_3,"The history of climate and vegetations are studied through an examination of plant residues, especially by pollen analysis.",Chapter3_8
7,Summarize Sangam Literature as a historical source,Chapter_3,"Sangam literature are the some of the earliest Tamil text. These were composed by the poets patronized by chiefs and the King. These are vast poetries written in eight anthologies called Ettuttokai. There are multiple layers of Sangam texts but at the moment, it can not be determined based on style or content. Unlike Vedic texts, they are secular in nature and these poems praise various heroes and heroines. These also mentions the trade with the Yavanas,",Chapter3_28
8,Describe the creation of India as a geographical entity,Chapter_4,"The Indian subcontinent emerged as a separate geographical unit some 40 million years ago. Earlier there was a single land mass called Pangea. This broke and created two separate super-continent called Gonwanaland and Laurisia nearly 225 million years ago. The former consisted of Antartica, South America, Africa, Arabia, South America and India. The Laurisia was made of North America, Greenland, Europe and most of Asia north of the present day Himalays. Due to tectonic movements different parts began to break away from Gondwanaland, including Indian peninsula. India became a separate entity and moved north to join the Eurasian continent between 58 and 37 million years ago. ","Chapter4_1, Chapter4_2"
9,What are the major rivers in India?,Chapter_4,"The major rivers in India are Ganga, Yamuna, Indus, Bramhaputra, Mahanadi, Krishna, Kaveri, godavari, Narmada and Trapti","Chapter4_7, Chapter4_10, Chapter_15"
10,Where are Copper mines located in India?,Chapter_4,"The richest copper mines in India are located in Chhotanagpur plateau, particularly in Singhbhum district. The copper bet is about 130 km long and widely distributed across India",Chapter4_20
11,How ancient Indians view the rivers?,Chapter_5,"Ancient Indians respected the rivers as divine. As per Rig veda, the river Sarasvati was a Goddess. However in post-Vedic times, importance of Ganga as a Goddess increased and this holds till today.",Chapter5_10
12,How did Dravidian language migrated south?,Chapter_6,"There are two theories of migration of Dravidian people, genetic and liguistic. As per the Genetic school of thought, the first major migration into India came from the Middle East around 30000 years ago. The second veiw states that the Dravidians came from Elam around 6000 years ago. The dispersion started in about 30000 BC and ended around 4000 BC. The Dravidian language iis originated from the Elam that is south-western of Iran. It is said that the Dravidian language travelled via the Pakistan area to south India where it gave rise to Tamil, Telegu, Kannada and Malayalam as its main branches. But compared to others Tamil is much closer to Dravidian.","Chapter6_5, Chapter6_6"
13,Tell me about the Indo-Aryan language group,Chapter_6,"Indo-Aryan is from the Indo-European family. Genetic studies showed that the genetic signals found in steppe, people throughout the Central Aisa appear in good degree in the speakers of the Indo-Aryan languages in India and very little in Dravidian speakers. This suggests that the speakers of Indo-European family migrated to India. The eastern or the Arya branch of the Indo-European family split into three sub-branches known as Indo-Iranian, Dardic and Indo-Aryan. Indo-Aryan is spoken by a large number of people in India, Pakistan, Bangladesh, Sri-Lanka, and Nepal. Vedic Sanskrit comes from Old Indo-Aryan. The middle Indo-Aryan covers Prakrit, Pali, and Apabhramshafrom about 500 BC to 1000 AD. The modern day Indian languages such as Hindi, Bengali, Assamese, Oriya , Marathi, Gujarati, Punjabi, Sindhi, and Kashmiri developed in medieval times out of Apabhramsha.","Chapter6_7, Chapter6_8"
14,Write a short note on Homo Habilis,Chapter_7,"Homo Habilis was the first important human, it was found in easteren and southern Africa about 2-1.5 million years ago. Homo Habilis means a handy or skilful man. They were able to break stones into pieces and sharpened them to use as tools. ","Chapter7_2, Chapter7_3"
15,Where was the first human fossil found in Indian subcontinent?,Chapter_7,Some of the earliest fossils have been found in the Siwalik hills covering Indian and Pakistan.,"Chapter7_5, Chapter7_6"
16,Where is Mehrgarh loacated?,Chapter_8,Mehrgarh is located on the bank of Bolan river in the Kochi plain in  Baluchistan. ,Chapter8_1
17,How was the agriculture of Neolithic setllers?,Chapter_8,"The Neolithic settlers were the earliest farming communities. They broke the ground with stone hoes and digging sticks  at the end of which ring stones weighing one to half kilogram were fixed. They also used microlith blades besides polished tools or stones. These people produced ragi and horse gram (kulathi), or even rice. Mehrgarh settlers were more advanced. They produced wheat and barley.","Chapter8_2, Chapter8_5, Chapter8_9"
18,Write a short note on the Chalcolithic arts and crafts.,Chapter_9,"The Chalcolithic people were expert coppersmiths, and also skilful workers in stone. They used copper Tools, weapons and wore copper bangles. They produced beads of semiprecious stones such as carnelian, steatite, and quartz crystal. They also no about the art of spinning and weaving Cotton flax and solk threads have been found in Maharashtra. They were potters, smiths, ivory carvers, lime makers and teracotta artisans.",Chapter9_10
19,What was the food of the Chalcolithc communities?,Chapter_9,"The Chalcolithic people produced wheat and rice, also they produced bajra. They also produced lentil, black gram, green gram, and grass pea. They also ate non-vegetarian food such as beef and pork or fish. In western India barley, wheat, lentils were popular with animal food. Whereas in Eastern India rice was cultivated more with fish.","Chapter9_7, Chapter9_8"
20,Write detailed description of the Mohenjo-daro bath,Chapter_10,"The most important public place of Mohenjo-daro was a great bath which was a big tank situated in the citadel mound. It is a fine example of beautiful brickwork. It measures 11.88 x 7.01 m and 2.43 m deep. Flights of steps at either end lead to the surface, and there were side rooms for changing clothes. The floor of the bath was made of burnt bricks. Water came to the bath from a large well in an adjacent room, and there was an outlet at the corner for drainage. The bath was used for primarily ritual bathing.","Chapter10_7, Chapter10_8"
21,Explain the Yogi seal of Indus ,Chapter_10,"A seal was disocovered which represented a male deity. This god has three-horned heads, and is represented in the sitting posture of a yogi, with one leg placed over the other. The god is surrounded by an elephant, a tiger and a rhinoceros, and below his throne there is a buffalo. There are also two deers at his feet. The God is identified as Pashupati Mahadeva but there are debate around that.",Chapter10_24
22,Tell me about the Harappan script,Chapter_10,"Earliest speciment of Harappan script was discovered in 1853 and the complete script by 1923. However, it has yet not dechiphered. There has been attempt to connect it with the Dravidian or the proto-Dravidian language,  with Sanskrit. Even people tried with Sumerian language, but none of these readings is satisfactory. ","Chapter10_27, Chapter10_28"
23,Role of War Chariot in Indo-European culture,Chapter_11,"The Indo-Europeans widely used horse-drawn chariots and these are well known in the Vedic, Avestan and Homeric texts. There was similarity between the chariot race prescribed. In the vajapeya sacrifice in later vedic texts and the Greek practice described Homer. The wheeled chariot originated in western Asia in the fourth millennium BC and reached the steppes of south Russia at about the same time. Chariots with two or three wheels of the third millenium BC have been found. The existence of horse-drawn chariots is also indicated by the names of the Mitannia rulers around 1400 BC and later.",Chapter12_172
24,Tell me about the Horse Sacrifice in Vedic Culture,Chapter_11,"The horse sacrifice was prevalent among the Indo-Europeans specially the Vedic people. The French Vedic sholar Loius Renou considered it is an Indo-European ritual. There were two hymns devoted to the horse sascrifice in the tenth book of the Rig Veda, the later Vedic texts transformed the sacrifice into asvamedha.",Chapter12_184
25,"When did the Aryan migrate to india, write the debate also",Chapter_11,"There are debate around the migration timeline of the Aryans. The genetic evidence show that Aryans migrated around 8000 BC from Central Asia, however linguistis and archelogist date it to 2000 BC.",Chapter12_191
26,Tell about the Bharata clan,Chapter_12,"Bharata was one of the ruling clans of the Vedic India. They were supported by priest Vahsistha. The country Bharatavarsha was named after the Bharata tribe. The Bharata ruling clan was opposed by a host of ten chiefs, five of whome were heads of Aryan tribes and the remaining five were from the non-Aryan people. There was a battle near the river Parushni or river Ravi, where King Sudas from the Bharata tribe won. Then the they established their rule on the upper Gangetic basin. ","Chapter12_203, Chapter_204"
27,Summarize Social Differentiation during Vedic time ,Chapter_12,"During the Rig Vedic period, social differentiation was beginning to emerge but society remained largely tribal and relatively egalitarian. Distinctions arose between the Indo-Aryan conquerors (arya varna) and the conquered indigenous people (dasa varna), with the latter often reduced to the status of slaves and shudras. Society gradually developed occupational divisions among warriors, priests, and common people, while the shudras appeared as a fourth group towards the end of the period. Chiefs and priests gained wealth and influence by receiving a larger share of war booty, creating some social inequality, and domestic slavery existed, particularly in the form of female slaves given as gifts. However, occupations were not yet rigid or hereditary, landownership and taxation-based classes had not developed, and strong tribal traditions continued to limit the extent of social stratification.",Chapter12_216
28,Describe arts and crafts of the later vedic period,Chapter_13,"There was large diversity of arts and crafts in late vedic period. There were smiths and smelters who used to work with iron and coppers. Weaving was mostly confined to women but produced in scale. Leather work, pottery, and carpentry also made great progress. There were four types of pottery associated with the late Vedic period - Black and red ware, black slipped ware, painted grey ware, and red-ware. The last type was most popular, and is found almost all over western UP. Howeve the most distinctive pottery of the period is known as Painted Grey Ware. It consisted of bowls and dishes, and these were either used for rituals or for eating or both.  Glass hoards and bangles were also found in the PGW latyers.",Chapter13_12
29,What were the five doctrines of Jainsim?,Chapter_14,"Jainism taught five doctrines : i) doJainism taught five doctrines: (i) do not commit violence, (ii) do not tell a lie,
(iii) do not steal, (iv) do not hoard, and (v) observe continence (brahmacharya).",Chapter14_13
30,Who was Gautama Buddha?,Chapter_14,"Gautam Buddh, or Siddhartha was the founder of the Buddhism. He was born in 567 BC in a Shakya Kshatriya family Lumbini in Nepal near Kapilavastu, which is identified with Piprahwa in Basti district and is close to the foothills of Nepal. From the early childhood he showed a meditative bent of mind. He was married early, but he was not interested in married life. He was deeply touched by seeing miseries of people in the workd and sought solution. He left the house at the age of 29. He wandered several places before attaining enlightenment at the age of 35 at Bodh-Gaya under a pipal tree. From this time onwards he began to be called as Buddha or the enlightened one. After that he spread the doctrines of Buddhism","Chapter14_21, Chapter14_20, Chapter_22"
31,What were the main philosophy of Buddhism?,Chapter_14,"Buddhism accepts that the world was full of sorrows and people suffered on account of desires. On conquerring of the desires, nirvana is attained, and the man is free from the cycle of birth and death.","Chapter14_23, Chapter14_24"
32,What led to large states?,Chapter_15,Increasing use of iron in eastern UP and western Bihar created conditions for large territorial states. The iron weapons enabled the warrior class to play an important role. The technological advancement in agriculture also increased productivity and therefore surplus. The princes collected the surplus to fund their military and administration. These enabled these princes to expand at the cost of their neighbouring areas. ,Chapter15_1
33,what was the capital of the kingdom of Kashi?,Chapter_15,The capital of the kingdom of Kashi was Varanasi.,Chapter15_4
34,What area of Indian subcontinent was under the control the Iranians,Chapter_16,"The area including Sindh, the north-west frontier, and the poar of the Punjab that was west of Indus were part of the Iranian satrapy.","Chapter16_1, Chapter16_2"
35,Why did Alexandar not invade India?,Chapter_16,"The Alexandar did not move further east because his army refused to accompany him. The Greek soldiers were tired wear and were sick. The hot climate of India and ten years of continuous campaigning had made them terribly homesick. In the battle with Porus, they experienced the Indian fighting qualities which were far superior compared to others. Furthermore they were aware of a formidable force in the bank of Ganges which was the Magadha ruled by the Nandas. All of these factors compelled Alaxandar to retreat.","Chapter16_6, Chapter16_7"
36,How was the Magadha army during the time of Alexandar's invasion,Chapter_17,"There were 200000 infantry, 20000 cavalry, 2000 four-horse chariots and about 6000 elephants during the invasion of Alexandar in Magadha army.",Chapter17_19
37,What were the names of the republic states during Magadha times,Chapter_17,There were two republics Shakyas and Licchhavis,Chapter17_24
38,What was the origin of Chandragupta Maurya?,Chapter_18,"Chandragupta Maurya was from a common family. According to the brahmanical tradition, he was born of Mura, a shudra woman in the court of Nandas. However this is disputed as an earlier Buddhist tradition mentions Mauryas as the ruling clan of the little republic of Pipphalivana in the region of Gorakhpur.",Chapter18_1
39,How was the King Ashoka referred in his inscriptions? ,Chapter_18,"King Ashoka was refered as devanampiya piyadasi in his inscriptions which means dear to the gods, and good looking respectively.",Chapter18_10
40,What was the official language of the Satavahanas?,Chapter_21,The official language of the Satavahanas was Prakrit,Chapter21_21
41,what were the main kingdoms of the south India during the megalithic periods?,Chapter_22,"The Cholas, Pandyas and the Cheras (Keralaputras) were three major kingdoms of the late megalithic phase.",Chapter22_3
42,Explain the conquest of King Samudragupta,Chapter_24,"Samudragupta was son of Chandragupta I. He expanded the Gupta kingdom enormously. There are five group of territories conquered by Samudragupta. Group one includes the princes of the Ganga-Yamuna doab who were defeated and whose kingdoms were add to the empire. Group two includes the rulers ofthe eastern Himalayan states and some of the frontier states such as Nepal, Assam, and Bengal. It also covers some parts of Punjab. Group three includes the forest kingdoms situated in the Vindhya region. Group four included the twelve states of the eastern Deccan and the South India. And the five was the Shakas and Kushans, some of them ruling in Afghanistan. He was never defeated and because of his bravery he is called the Napoleon of India. He focibly unified India uner him.","Chapter24_5, Chapter24_6, Chapter24_7"
43,What was the capital of Harsha?,Chapter_27,The capital of Harsha was Kanauj,Chapter26_25
44,How was the law and order during Harsha's time?,Chapter_27,"During Harsha's reign, law and order was not well maintained. Hsuan Tsang himself was robbed of his belongings inspite of having royal patronage. But he also mentions about provision of severe punishments such as amputation of hand was there. However under the influence of Buddhism, the severity of punishment was mitigated.",Chapter26_30
45,Explain the Samkhya philosophy,Chapter_29,"Samkhya means count. Samkhya is a scientific and rational view of looking. It believes that the creation is more due to nature or prakiti than to God. Later, the purusha or spirit was also introdued. As per this view creation is attributed to both nature and the spirit. It believes that one can attain salvation through the acquisition of real knowledge. This knowledge can be learnt through perception, inference, and hearing.","Chapter29_2, Chapter29_3"
46,How one can attain salvation as per Yoga school?,Chapter_29,"As per Yoga school, salvation can be obtained through meditation and physical application. Practice of control over pleasure, sense and bodily organs is central to this. In order to attain salvation, physical exercise (asanas) and breathing exercise (pranayamas) are recommended","Chapter29_3, Chapter29_4"
47,What is the largest Buddhist temple in the world?,Chapter_30,Borobudur in Java is  the largest Buddhist temple in the world,Chapter31_59
48,What does Bhakti mean?,Chapter_31,Bhakti means that   people of made all kinds of offering to the god in return for which they receive the prasada or the favour of the God. This implied the total surrender of the devotees to their God.,"Chapter31_85, Chapter31_86"
49,What was Vaisheshika?,Chapter_29,"The Vaisheshika school gives importance to the discussion of material wlements. They pronounced the atom theory believing that all objects are made up of atoms. Thus it marked the begiining of physics in India. However, this scientific view was diluted by a belief in God and spiritualism",Chapter29_5
50,What are the Buddhists sites in Afghanistan?,Chapter_30,Begram and Bamiyan are two sites of Buddhism in Afghanistan where many stautes and monasteries have been discovereed.,Chapter31_4